"Age","A_single_family_nucleus_and_other_persons","Couple_with_children","Couple_without_children","One_person_household","Other","Single_parent_with_children","Unknown","Two_or_more_family_nuclei"
"0-14",467475,3969965,0,0,7660,798970,0,343090
"15-19",196435,1367755,14730,15395,51045,421725,0,94825
"20-24",197450,975035,192375,141125,266405,278010,0,117035
"25-29",181690,717530,457790,258090,237305,166790,0,131770
"30-34",164495,977225,373725,247200,121130,143895,0,117915
"35-39",167185,1198645,238930,211045,72135,166135,0,102710
"40-44",178900,1289205,241400,227050,67385,208120,0,93435
"45-49",187110,1351465,395695,300065,80500,245020,0,91625
"50-54",167020,1070205,669275,346215,82900,205625,0,92810
"55-59",129980,617515,918915,357215,70895,129970,0,91765
"60-64",104965,311965,1032060,354220,59060,77430,0,88280
"65-69",70945,142025,834945,294735,40405,46180,0,68235
"70-74",54550,82620,612350,253520,28045,38395,0,52510
"75-79",46330,53035,433300,242625,20145,39875,0,36550
"80-84",39750,29375,254610,219465,13525,38030,0,21220
"85-89",26740,10610,97300,143430,7190,27570,0,9540
"90-94",11520,2140,19515,51450,2670,11315,0,2815
"95-99",3130,250,1940,9560,645,2695,0,605
"100+",440,10,100,910,105,315,0,90
