"Age","Couple_with_children","Couple_without_children","One_person_household","Single_parent_with_children","Unknown"
"0-14",12181077,0,1071,1417905,58725
"15-19",3283959,4095,377595,869770,35656
"20-24",2599756,126691,1576674,674806,125936
"25-29",2989262,746473,1591273,581876,183415
"30-34",4186550,1041353,1260058,589664,130932
"35-39",5416722,976301,1219619,795672,101593
"40-44",4718083,761682,1040729,850005,79632
"45-49",3943048,742994,930651,844363,70327
"50-54",3195543,1030479,883523,747449,65086
"55-59",2937124,1928128,1078696,693169,73786
"60-64",2759549,3265759,1293949,647162,79332
"65-69",1833909,3303309,1121702,457890,55131
"70-74",1214806,2852417,1076452,414048,38587
"75-79",741171,2140533,1081942,409405,26693
"80-84",347701,1137141,873133,361479,18250
"85-89",108514,354350,462742,253839,10113
"90-94",22289,67790,145193,111912,3918
"95-99",2914,8564,27099,29872,1024
"100+",151,401,2505,3941,146
